Time,Open,High,Low,Close,Volume,VWAP
1593194340,2.31,2.31,2.3,2.3,5.0,2.552118
1593194400,2.28,2.28,2.22,2.23,10.0,2.55179
1593194460,2.23,2.24,2.23,2.24,3.0,2.551683
1593194520,2.26,2.3,2.26,2.3,13.0,2.551275
1593194580,2.3,2.3,2.3,2.3,1.0,2.551247
1593194640,2.3,2.3,2.3,2.3,3.0,2.551164
1593194700,2.29,2.29,2.28,2.28,3.0,2.551075
1593194760,2.28,2.28,2.28,2.28,1.0,2.551045
1593194820,2.27,2.3,2.27,2.3,18.0,2.550517
1593194880,2.29,2.29,2.29,2.29,3.0,2.55043
1593194940,2.26,2.26,2.26,2.26,1.0,2.550398
1593195000,2.31,2.31,2.31,2.31,42.0,2.549285
1593195300,2.23,2.23,2.23,2.23,11.0,2.548898
1593195540,2.21,2.21,2.21,2.21,2.0,2.548824
1593195600,2.2,2.2,2.2,2.2,4.0,2.54867
1593195720,2.23,2.24,2.23,2.24,49.0,2.546966
1593195780,2.22,2.22,2.22,2.22,2.0,2.546894
1593195900,2.2,2.2,2.2,2.2,1.0,2.546856
1593196020,2.17,2.17,2.13,2.13,67.0,2.543877
1593196140,2.12,2.14,2.11,2.14,11.0,2.54339
1593196200,2.15,2.15,2.09,2.09,4.0,2.543201
1593196260,2.08,2.16,2.08,2.16,37.0,2.541661
1593196320,2.18,2.18,2.17,2.17,2.0,2.541581
1593196380,2.16,2.16,2.16,2.16,3.0,2.541458
1593196440,2.17,2.17,2.15,2.15,11.0,2.540996
1593196500,2.11,2.11,2.11,2.11,40.0,2.539145
1593196560,2.1,2.1,2.06,2.06,31.0,2.537671
1593196620,2.07,2.08,2.07,2.08,6.0,2.537374
1593196680,2.11,2.11,2.1,2.1,6.0,2.537099
1593196740,2.06,2.06,2.04,2.05,9.0,2.536633
1593196800,2.05,2.07,2.05,2.07,4.0,2.53643
1593196860,2.08,2.08,2.06,2.07,15.0,2.535685
1593196920,2.08,2.08,2.08,2.08,368.0,2.518492
1593196980,2.06,2.06,2.06,2.06,2.0,2.518398
1593197040,2.08,2.09,2.06,2.06,52.0,2.516123
1593197100,2.05,2.06,2.05,2.06,17.0,2.515327
1593197160,2.02,2.02,2.02,2.02,10.0,2.514823
1593197220,2.03,2.03,2.01,2.02,11.0,2.514264
1593197280,2.02,2.02,1.99,1.99,1028.0,2.465294
1593197340,2.01,2.05,2.01,2.05,10.0,2.464884
1593197400,2.06,2.08,2.05,2.06,66.0,2.462536
1593197460,2.07,2.07,2.05,2.05,61.0,2.460354
1593197520,2.03,2.06,2.03,2.06,137.0,2.455407
1593197580,2.07,2.07,2.02,2.02,64.0,2.453036
1593197640,2.03,2.06,2.03,2.04,16.0,2.452458
1593197700,1.99,1.99,1.98,1.98,8.0,2.452123
1593197760,2.0,2.02,2.0,2.02,17.0,2.451459
1593197820,2.0,2.0,1.98,1.98,2.0,2.451377
1593197880,2.01,2.03,2.01,2.01,14.0,2.450846
1593197940,2.03,2.03,2.03,2.03,1.0,2.450809
1593198000,2.07,2.08,2.07,2.08,25.0,2.449967
1593198060,2.08,2.08,2.06,2.06,51.0,2.448276
1593198120,2.06,2.06,2.06,2.06,1.0,2.448241
1593198180,2.06,2.06,2.04,2.04,6.0,2.448034
1593198240,2.04,2.05,2.02,2.02,12.0,2.447604
1593198300,2.01,2.01,2.0,2.0,8.0,2.44729
1593198360,1.99,1.99,1.97,1.97,2.0,2.447208
