Time,Open,High,Low,Close,Volume,VWAP
2020-07-09 07:35:00,4.3,4.3,4.3,4.3,1.0,4.588719
2020-07-09 07:36:00,4.25,4.25,4.18,4.23,45.0,4.586174
2020-07-09 07:37:00,4.27,4.27,4.13,4.13,22.0,4.584796
2020-07-09 07:38:00,4.17,4.2,4.04,4.04,24.0,4.583257
2020-07-09 07:39:00,4.01,4.08,3.98,4.0,294.0,4.559308000000001
2020-07-09 07:40:00,4.01,4.02,3.95,3.95,648.0,4.510751
2020-07-09 07:41:00,3.91,3.92,3.86,3.87,105.0,4.501957
2020-07-09 07:42:00,3.92,3.92,3.83,3.83,133.0,4.491099
2020-07-09 07:43:00,3.81,3.81,3.71,3.71,84.0,4.483322
2020-07-09 07:44:00,3.68,3.71,3.64,3.64,236.0,4.45929
2020-07-09 07:45:00,3.67,3.68,3.59,3.67,121.0,4.4466220000000005
2020-07-09 07:46:00,3.7,3.77,3.7,3.72,87.0,4.439121
2020-07-09 07:47:00,3.7,3.72,3.65,3.66,184.0,4.422521
2020-07-09 07:48:00,3.68,3.68,3.63,3.63,90.0,4.4143
2020-07-09 07:49:00,3.64,3.65,3.53,3.55,403.0,4.377464
2020-07-09 07:50:00,3.53,3.7,3.46,3.66,476.0,4.335198
2020-07-09 07:51:00,3.71,3.73,3.65,3.65,208.0,4.320991
2020-07-09 07:52:00,3.62,3.7,3.58,3.63,36.0,4.318356
2020-07-09 07:53:00,3.66,3.66,3.61,3.66,9.0,4.31772
2020-07-09 07:54:00,3.63,3.68,3.63,3.67,24.0,4.316071
2020-07-09 07:55:00,3.62,3.62,3.45,3.54,123.0,4.3062309999999995
2020-07-09 07:56:00,3.45,3.45,3.36,3.43,157.0,4.291501
2020-07-09 07:57:00,3.44,3.52,3.39,3.4,53.0,4.28696
2020-07-09 07:58:00,3.39,3.39,3.2,3.25,240.0,4.263186
2020-07-09 07:59:00,3.22,3.29,3.19,3.24,1050.0,4.166805999999999
2020-07-09 08:00:00,3.18,3.33,3.17,3.27,59.0,4.162217
